死因,性別,2011年(人),2012年(人),2013年(人),2014年(人),2015年(人),2015年_0歳(人),2015年_1歳(人),2015年_2歳(人),2015年_3歳(人),2015年_4歳(人),2015年_0〜4歳(人),2015年_5〜9歳(人),2015年_10〜14歳(人),2015年_15〜19歳(人),2015年_20〜24歳(人),2015年_25〜29歳(人),2015年_30〜34歳(人),2015年_35〜39歳(人),2015年_40〜44歳(人),2015年_45〜49歳(人),2015年_50〜54歳(人),2015年_55〜59歳(人),2015年_60〜64歳(人),2015年_65〜69歳(人),2015年_70〜74歳(人),2015年_75〜79歳(人),2015年_80〜84歳(人),2015年_85〜89歳(人),2015年_90〜94歳(人),2015年_95〜99歳(人),2015年_100歳以上(人),2015年_不詳(人)
循環器系の疾患_その他の循環器系の疾患,女,84,82,73,85,74,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,2,4,9,5,16,18,16,2,-
呼吸器系の疾患,男,2260,2225,2299,2263,2267,3,2,-,-,-,5,1,-,-,-,-,1,2,1,10,8,16,34,98,170,309,530,610,353,93,26,-
呼吸器系の疾患,女,1874,1854,1816,1859,1723,2,1,-,-,-,3,1,-,-,-,1,1,1,1,3,2,6,9,31,58,131,259,434,469,244,69,-
呼吸器系の疾患_インフルエンザ,男,7,12,10,12,21,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,4,7,7,-,-,-
呼吸器系の疾患_インフルエンザ,女,6,15,12,5,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5,4,7,6,2,-
呼吸器系の疾患_肺炎,男,1338,1272,1254,1232,1248,-,1,-,-,-,1,1,-,-,-,-,-,2,1,4,5,11,15,46,78,171,292,340,204,62,15,-
呼吸器系の疾患_肺炎,女,1206,1209,1164,1164,1029,-,-,-,-,-,-,1,-,-,-,-,-,1,1,1,1,3,6,12,28,71,134,267,306,143,54,-
呼吸器系の疾患_急性気管支炎,男,4,2,6,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,1,-,-,1,-
呼吸器系の疾患_急性気管支炎,女,10,7,4,10,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-
呼吸器系の疾患_慢性閉塞性肺疾患,男,305,276,299,288,268,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,13,23,37,69,72,40,10,2,-
呼吸器系の疾患_慢性閉塞性肺疾患,女,109,93,76,76,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,8,6,18,22,13,6,-,-
呼吸器系の疾患_喘息,男,13,13,15,10,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,1,1,-,-,-
呼吸器系の疾患_喘息,女,36,20,18,23,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,2,-,3,4,2,1,-
呼吸器系の疾患_その他の呼吸器系の疾患,男,593,650,715,719,720,3,-,-,-,-,3,-,-,-,-,-,1,-,-,6,3,4,16,39,68,98,163,189,101,21,8,-
呼吸器系の疾患_その他の呼吸器系の疾患,女,507,510,542,581,575,2,1,-,-,-,3,-,-,-,-,1,1,-,-,2,1,2,2,16,22,50,101,136,139,87,12,-
消化器系の疾患,男,410,434,431,482,459,-,-,-,-,-,-,-,-,-,-,-,1,1,5,14,15,12,31,50,62,75,76,63,37,16,1,-
消化器系の疾患,女,443,454,439,504,460,-,-,-,-,-,-,-,-,-,-,-,-,1,3,5,7,4,11,14,16,35,84,97,109,56,18,-
消化器系の疾患_胃潰瘍及び十二指腸潰瘍,男,23,26,27,30,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,4,4,3,5,6,1,-,-
消化器系の疾患_胃潰瘍及び十二指腸潰瘍,女,32,29,20,25,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,1,6,2,7,4,-,-
消化器系の疾患_ヘルニア及び腸閉塞,男,58,62,47,73,64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,6,13,17,12,8,3,-,-
消化器系の疾患_ヘルニア及び腸閉塞,女,70,85,72,78,78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,6,12,17,28,8,4,-
消化器系の疾患_肝疾患,男,161,178,161,181,169,-,-,-,-,-,-,-,-,-,-,-,1,-,-,12,10,10,19,25,26,26,21,13,6,-,-,-
消化器系の疾患_肝疾患,女,107,96,104,104,112,-,-,-,-,-,-,-,-,-,-,-,-,1,2,4,2,3,8,5,9,17,27,14,11,7,2,-
消化器系の疾患_肝疾患_肝硬変(アルコール性を除く),男,64,81,66,78,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,4,2,15,11,9,11,6,3,-,-,-
消化器系の疾患_肝疾患_肝硬変(アルコール性を除く),女,67,55,61,64,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,3,4,6,13,19,11,7,2,1,-
消化器系の疾患_肝疾患_その他の肝疾患,男,97,97,95,103,103,-,-,-,-,-,-,-,-,-,-,-,1,-,-,10,7,6,17,10,15,17,10,7,3,-,-,-
消化器系の疾患_肝疾患_その他の肝疾患,女,40,41,43,40,42,-,-,-,-,-,-,-,-,-,-,-,-,1,2,3,1,1,5,1,3,4,8,3,4,5,1,-
消化器系の疾患_その他の消化器系の疾患,男,168,168,196,198,198,-,-,-,-,-,-,-,-,-,-,-,-,1,5,2,5,2,11,16,26,32,35,33,17,12,1,-
消化器系の疾患_その他の消化器系の疾患,女,234,244,243,297,247,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,4,-,2,7,6,11,39,64,63,37,12,-
皮膚及び皮下組織の疾患,男,15,11,12,11,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,2,-,5,1,2,-,-
皮膚及び皮下組織の疾患,女,17,23,19,21,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,1,4,1,3,-
筋骨格系及び結合組織の疾患,男,44,40,52,50,63,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,3,5,16,10,14,8,3,1,-,-
筋骨格系及び結合組織の疾患,女,88,52,79,80,91,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,1,2,4,7,10,13,22,13,8,7,2,-
腎尿路生殖器系の疾患,男,321,342,326,347,351,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,3,3,8,16,31,46,85,91,44,17,4,-
腎尿路生殖器系の疾患,女,429,476,476,455,476,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,-,2,2,14,12,31,67,129,126,76,13,-
腎尿路生殖器系の疾患_糸球体疾患及び腎尿細管間質性疾患,男,29,36,28,31,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,6,4,8,12,4,1,1,-
腎尿路生殖器系の疾患_糸球体疾患及び腎尿細管間質性疾患,女,63,51,74,63,67,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,4,2,6,10,18,15,7,4,-
腎尿路生殖器系の疾患_腎不全,男,237,258,240,253,245,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2,2,6,14,21,33,57,61,32,13,2,-
腎尿路生殖器系の疾患_腎不全,女,263,314,302,285,276,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,2,6,6,20,40,69,70,54,6,-
腎尿路生殖器系の疾患_腎不全_急性腎不全,男,38,37,46,38,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,3,3,10,3,6,2,-,-
腎尿路生殖器系の疾患_腎不全_急性腎不全,女,46,59,61,54,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,6,3,16,13,11,1,-
腎尿路生殖器系の疾患_腎不全_慢性腎不全,男,143,159,137,157,168,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2,2,4,12,12,23,39,45,19,6,2,-
腎尿路生殖器系の疾患_腎不全_慢性腎不全,女,139,160,154,163,163,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,2,4,7,28,43,45,28,3,-
腎尿路生殖器系の疾患_腎不全_詳細不明の腎不全,男,56,62,57,58,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,6,7,8,13,7,5,-,-
腎尿路生殖器系の疾患_腎不全_詳細不明の腎不全,女,78,95,87,68,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,3,1,7,9,10,12,15,2,-
腎尿路生殖器系の疾患_その他の腎尿路生殖器系の疾患,男,55,48,58,63,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,4,9,20,18,8,3,1,-
腎尿路生殖器系の疾患_その他の腎尿路生殖器系の疾患,女,103,111,100,107,133,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,4,4,5,17,42,41,15,3,-
"妊娠,分娩及び産じょく",女,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
周産期に発生した病態,男,8,8,6,6,8,7,-,-,1,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
周産期に発生した病態,女,5,7,5,4,8,8,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
周産期に発生した病態_妊娠期間及び胎児発育に関連する障害,男,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
周産期に発生した病態_妊娠期間及び胎児発育に関連する障害,女,-,2,-,-,2,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
周産期に発生した病態_出産外傷,男,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
周産期に発生した病態_出産外傷,女,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
周産期に発生した病態_周産期に特異的な呼吸障害及び心血管障害,男,4,4,5,5,5,5,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
周産期に発生した病態_周産期に特異的な呼吸障害及び心血管障害,女,2,2,2,2,4,4,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
周産期に発生した病態_周産期に特異的な感染症,男,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
周産期に発生した病態_周産期に特異的な感染症,女,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
周産期に発生した病態_胎児及び新生児の出血性障害及び血液障害,男,2,2,-,-,1,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
周産期に発生した病態_胎児及び新生児の出血性障害及び血液障害,女,-,1,1,1,1,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
周産期に発生した病態_その他の周産期に発生した病態,男,-,-,-,-,2,1,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
周産期に発生した病態_その他の周産期に発生した病態,女,3,1,2,1,1,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
先天奇形，変形及び染色体異常,男,13,17,24,8,15,7,-,1,-,-,8,-,-,-,-,-,1,1,-,-,-,-,-,1,1,1,2,-,-,-,-,-
先天奇形，変形及び染色体異常,女,29,20,24,7,33,14,2,1,-,-,17,-,1,-,-,-,-,1,2,1,-,-,1,1,1,-,1,1,5,-,1,-
先天奇形，変形及び染色体異常_神経系の先天奇形,男,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
先天奇形，変形及び染色体異常_神経系の先天奇形,女,2,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
先天奇形，変形及び染色体異常_循環器系の先天奇形,男,6,8,13,7,4,2,-,1,-,-,3,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
先天奇形，変形及び染色体異常_循環器系の先天奇形,女,15,9,12,3,21,6,2,1,-,-,9,-,1,-,-,-,-,-,2,1,-,-,-,1,-,-,1,-,5,-,1,-
先天奇形，変形及び染色体異常_循環器系の先天奇形_心臓の先天奇形,男,4,7,11,6,3,1,-,1,-,-,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
先天奇形，変形及び染色体異常_循環器系の先天奇形_心臓の先天奇形,女,11,8,6,1,11,4,1,1,-,-,6,-,1,-,-,-,-,-,2,-,-,-,-,1,-,-,-,-,1,-,-,-
先天奇形，変形及び染色体異常_循環器系の先天奇形_その他の循環器系の先天奇形,男,2,1,2,1,1,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
先天奇形，変形及び染色体異常_循環器系の先天奇形_その他の循環器系の先天奇形,女,4,1,6,2,10,2,1,-,-,-,3,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,4,-,1,-
先天奇形，変形及び染色体異常_消化器系の先天奇形,男,1,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
先天奇形，変形及び染色体異常_消化器系の先天奇形,女,-,3,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
先天奇形，変形及び染色体異常_その他の先天奇形及び変形,男,4,6,7,1,7,4,-,-,-,-,4,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
先天奇形，変形及び染色体異常_その他の先天奇形及び変形,女,9,4,4,1,7,5,-,-,-,-,5,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-
先天奇形，変形及び染色体異常_染色体異常、他に分類されないもの,男,2,3,1,-,2,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
先天奇形，変形及び染色体異常_染色体異常、他に分類されないもの,女,3,2,5,3,4,3,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
症状、徴候及び異常臨床所見・異常検査所見で他に分類されないもの,男,380,387,412,3,461,2,-,-,-,-,2,-,-,-,2,1,2,5,3,9,3,3,14,16,14,26,59,104,99,67,32,-
症状、徴候及び異常臨床所見・異常検査所見で他に分類されないもの,女,1020,1175,1186,-,1332,3,1,-,-,-,4,1,1,-,1,-,-,2,-,3,3,2,2,4,10,22,102,235,391,366,183,-
症状、徴候及び異常臨床所見・異常検査所見で他に分類されないもの_老衰,男,257,269,284,-,334,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,16,46,88,88,61,32,-
症状、徴候及び異常臨床所見・異常検査所見で他に分類されないもの_老衰,女,898,1034,1086,-,1219,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,12,85,217,368,355,180,-
症状、徴候及び異常臨床所見・異常検査所見で他に分類されないもの_乳幼児突然死症候群,男,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
症状、徴候及び異常臨床所見・異常検査所見で他に分類されないもの_乳幼児突然死症候群,女,-,1,-,-,1,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
症状、徴候及び異常臨床所見・異常検査所見で他に分類されないもの_その他の症状、徴候及び異常臨床所見・異常検査所見で他に分類されないもの,男,123,118,128,3,127,2,-,-,-,-,2,-,-,-,2,1,2,5,3,9,3,3,14,15,12,10,13,16,11,6,-,-
症状、徴候及び異常臨床所見・異常検査所見で他に分類されないもの_その他の症状、徴候及び異常臨床所見・異常検査所見で他に分類されないもの,女,122,140,100,-,112,2,1,-,-,-,3,1,1,-,1,-,-,2,-,3,3,2,2,4,8,10,17,18,23,11,3,-
傷病及び死亡の外因,男,762,754,713,1,693,-,1,1,1,-,3,6,4,10,23,29,23,18,38,42,46,37,41,60,67,54,78,67,31,16,-,-
傷病及び死亡の外因,女,475,470,386,-,385,-,-,-,-,-,-,-,1,5,7,7,8,11,15,20,17,17,16,24,31,25,40,58,49,28,6,-
傷病及び死亡の外因_不慮の事故,男,339,346,342,1,335,-,1,1,1,-,3,5,3,2,7,2,2,3,11,11,10,12,21,27,33,32,58,53,26,14,-,-
傷病及び死亡の外因_不慮の事故,女,264,237,200,-,198,-,-,-,-,-,-,-,-,1,4,-,1,4,2,1,5,-,4,11,14,16,31,46,33,21,4,-
傷病及び死亡の外因_不慮の事故_交通事故,男,80,67,64,-,83,-,-,-,-,-,-,4,2,2,7,-,1,1,5,4,6,7,7,7,12,7,7,1,3,-,-,-
傷病及び死亡の外因_不慮の事故_交通事故,女,55,33,31,-,30,-,-,-,-,-,-,-,-,1,2,-,-,2,1,-,-,-,2,3,4,5,7,3,-,-,-,-
傷病及び死亡の外因_不慮の事故_転倒・転落,男,66,93,93,-,79,-,-,1,1,-,2,-,-,-,-,-,-,-,1,3,1,2,4,7,3,8,16,20,8,4,-,-
傷病及び死亡の外因_不慮の事故_転倒・転落,女,73,59,60,-,56,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,1,2,1,5,15,14,12,4,-
傷病及び死亡の外因_不慮の事故_不慮の溺死及び溺水,男,32,27,27,-,12,-,-,-,-,-,-,1,1,-,-,1,-,-,-,-,-,1,-,3,-,4,1,-,-,-,-,-
傷病及び死亡の外因_不慮の事故_不慮の溺死及び溺水,女,12,13,8,-,13,-,-,-,-,-,-,-,-,-,-,-,1,2,1,1,1,-,-,-,4,-,1,2,-,-,-,-
傷病及び死亡の外因_不慮の事故_不慮の窒息,男,63,63,76,1,68,-,1,-,-,-,1,-,-,-,-,1,-,2,2,1,2,2,2,3,9,5,15,13,5,5,-,-
傷病及び死亡の外因_不慮の事故_不慮の窒息,女,63,76,55,-,57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,1,2,3,2,10,16,12,7,-,-
傷病及び死亡の外因_不慮の事故_煙，火及び火炎への曝露,男,23,14,9,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,1,-,-,-
傷病及び死亡の外因_不慮の事故_煙，火及び火炎への曝露,女,13,6,5,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,2,-,-,-,-
傷病及び死亡の外因_不慮の事故_有害物質による不慮の中毒及び有害物質への曝露,男,9,7,6,-,5,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,1,-,1,-,-,-,-,-,-,-,-,-
傷病及び死亡の外因_不慮の事故_有害物質による不慮の中毒及び有害物質への曝露,女,7,8,4,-,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-
傷病及び死亡の外因_不慮の事故_その他の不慮の事故,男,66,75,67,-,84,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,7,6,9,7,19,18,9,5,-,-
傷病及び死亡の外因_不慮の事故_その他の不慮の事故,女,41,42,37,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,6,7,8,6,2,-,-
傷病及び死亡の外因_自殺,男,308,332,302,-,289,-,-,-,-,-,-,-,1,8,15,23,19,15,24,28,32,22,16,29,25,17,6,6,2,1,-,-
傷病及び死亡の外因_自殺,女,139,166,148,-,134,-,-,-,-,-,-,-,1,4,2,6,7,6,12,18,10,16,9,10,14,4,6,3,4,2,-,-
傷病及び死亡の外因_他殺,男,5,7,7,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,-,-,-
傷病及び死亡の外因_他殺,女,6,5,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
傷病及び死亡の外因_その他の外因,男,110,69,62,-,66,-,-,-,-,-,-,1,-,-,1,4,2,-,3,3,4,3,4,4,8,5,12,8,3,1,-,-
傷病及び死亡の外因_その他の外因,女,66,62,36,-,52,-,-,-,-,-,-,-,-,-,1,1,-,1,1,1,2,1,3,3,3,5,2,9,12,5,2,-
