西暦,和暦,月等,性別,調査産業計_現金給与総額(円),調査産業計_きまって支給する給与(円),調査産業計_特別に支払われた給与(円),調査産業計_総実労働時間(時間),建設業_現金給与総額(円),建設業_きまって支給する給与(円),建設業_特別に支払われた給与(円),建設業_総実労働時間(時間),製造業_現金給与総額(円),製造業_きまって支給する給与(円),製造業_特別に支払われた給与(円),製造業_総実労働時間(時間),食料品・たばこ_現金給与総額(円),食料品・たばこ_きまって支給する給与(円),食料品・たばこ_特別に支払われた給与(円),食料品・たばこ_総実労働時間(時間),繊維工業_現金給与総額(円),繊維工業_きまって支給する給与(円),繊維工業_特別に支払われた給与(円),繊維工業_総実労働時間(時間),木材・木製品_現金給与総額(円),木材・木製品_きまって支給する給与(円),木材・木製品_特別に支払われた給与(円),木材・木製品_総実労働時間(時間),家具・装備品_現金給与総額(円),家具・装備品_きまって支給する給与(円),家具・装備品_特別に支払われた給与(円),家具・装備品_総実労働時間(時間),パルプ・紙_現金給与総額(円),パルプ・紙_きまって支給する給与(円),パルプ・紙_特別に支払われた給与(円),パルプ・紙_総実労働時間(時間),印刷・同関連業_現金給与総額(円),印刷・同関連業_きまって支給する給与(円),印刷・同関連業_特別に支払われた給与(円),印刷・同関連業_総実労働時間(時間),化学、石油・石炭_現金給与総額(円),化学、石油・石炭_きまって支給する給与(円),化学、石油・石炭_特別に支払われた給与(円),化学、石油・石炭_総実労働時間(時間),プラスチック製品_現金給与総額(円),プラスチック製品_きまって支給する給与(円),プラスチック製品_特別に支払われた給与(円),プラスチック製品_総実労働時間(時間),ゴム製品_現金給与総額(円),ゴム製品_きまって支給する給与(円),ゴム製品_特別に支払われた給与(円),ゴム製品_総実労働時間(時間),窯業・土石製品_現金給与総額(円),窯業・土石製品_きまって支給する給与(円),窯業・土石製品_特別に支払われた給与(円),窯業・土石製品_総実労働時間(時間),鉄鋼業_現金給与総額(円),鉄鋼業_きまって支給する給与(円),鉄鋼業_特別に支払われた給与(円),鉄鋼業_総実労働時間(時間),非鉄金属製造業_現金給与総額(円),非鉄金属製造業_きまって支給する給与(円),非鉄金属製造業_特別に支払われた給与(円),非鉄金属製造業_総実労働時間(時間),金属製品製造業_現金給与総額(円),金属製品製造業_きまって支給する給与(円),金属製品製造業_特別に支払われた給与(円),金属製品製造業_総実労働時間(時間),はん用機械器具_現金給与総額(円),はん用機械器具_きまって支給する給与(円),はん用機械器具_特別に支払われた給与(円),はん用機械器具_総実労働時間(時間),生産用機械器具_現金給与総額(円),生産用機械器具_きまって支給する給与(円),生産用機械器具_特別に支払われた給与(円),生産用機械器具_総実労働時間(時間),業務用機械器具_現金給与総額(円),業務用機械器具_きまって支給する給与(円),業務用機械器具_特別に支払われた給与(円),業務用機械器具_総実労働時間(時間),電子・デバイス_現金給与総額(円),電子・デバイス_きまって支給する給与(円),電子・デバイス_特別に支払われた給与(円),電子・デバイス_総実労働時間(時間),電気機械器具_現金給与総額(円),電気機械器具_きまって支給する給与(円),電気機械器具_特別に支払われた給与(円),電気機械器具_総実労働時間(時間),情報通信機械器具_現金給与総額(円),情報通信機械器具_きまって支給する給与(円),情報通信機械器具_特別に支払われた給与(円),情報通信機械器具_総実労働時間(時間),輸送用機械器具_現金給与総額(円),輸送用機械器具_きまって支給する給与(円),輸送用機械器具_特別に支払われた給与(円),輸送用機械器具_総実労働時間(時間),その他の製造業_現金給与総額(円),その他の製造業_きまって支給する給与(円),その他の製造業_特別に支払われた給与(円),その他の製造業_総実労働時間(時間),電気・ガス・熱供給・水道業_現金給与総額(円),電気・ガス・熱供給・水道業_きまって支給する給与(円),電気・ガス・熱供給・水道業_特別に支払われた給与(円),電気・ガス・熱供給・水道業_総実労働時間(時間),情報通信業_現金給与総額(円),情報通信業_きまって支給する給与(円),情報通信業_特別に支払われた給与(円),情報通信業_総実労働時間(時間),運輸業，郵便業_現金給与総額(円),運輸業，郵便業_きまって支給する給与(円),運輸業，郵便業_特別に支払われた給与(円),運輸業，郵便業_総実労働時間(時間),卸売業，小売業_現金給与総額(円),卸売業，小売業_きまって支給する給与(円),卸売業，小売業_特別に支払われた給与(円),卸売業，小売業_総実労働時間(時間),卸売業_現金給与総額(円),卸売業_きまって支給する給与(円),卸売業_特別に支払われた給与(円),卸売業_総実労働時間(時間),小売業_現金給与総額(円),小売業_きまって支給する給与(円),小売業_特別に支払われた給与(円),小売業_総実労働時間(時間),金融業，保険業_現金給与総額(円),金融業，保険業_きまって支給する給与(円),金融業，保険業_特別に支払われた給与(円),金融業，保険業_総実労働時間(時間),不動産業，物品賃貸業_現金給与総額(円),不動産業，物品賃貸業_きまって支給する給与(円),不動産業，物品賃貸業_特別に支払われた給与(円),不動産業，物品賃貸業_総実労働時間(時間),学術研究，専門・技術サービス業_現金給与総額(円),学術研究，専門・技術サービス業_きまって支給する給与(円),学術研究，専門・技術サービス業_特別に支払われた給与(円),学術研究，専門・技術サービス業_総実労働時間(時間),宿泊業，飲食サービス業_現金給与総額(円),宿泊業，飲食サービス業_きまって支給する給与(円),宿泊業，飲食サービス業_特別に支払われた給与(円),宿泊業，飲食サービス業_総実労働時間(時間),宿泊業_現金給与総額(円),宿泊業_きまって支給する給与(円),宿泊業_特別に支払われた給与(円),宿泊業_総実労働時間(時間),宿泊業，飲食サービス業一括分_現金給与総額(円),宿泊業，飲食サービス業一括分_きまって支給する給与(円),宿泊業，飲食サービス業一括分_特別に支払われた給与(円),宿泊業，飲食サービス業一括分_総実労働時間(時間),生活関連サービス業，娯楽業_現金給与総額(円),生活関連サービス業，娯楽業_きまって支給する給与(円),生活関連サービス業，娯楽業_特別に支払われた給与(円),生活関連サービス業，娯楽業_総実労働時間(時間),教育，学習支援業_現金給与総額(円),教育，学習支援業_きまって支給する給与(円),教育，学習支援業_特別に支払われた給与(円),教育，学習支援業_総実労働時間(時間),医療，福祉_現金給与総額(円),医療，福祉_きまって支給する給与(円),医療，福祉_特別に支払われた給与(円),医療，福祉_総実労働時間(時間),医療業_現金給与総額(円),医療業_きまって支給する給与(円),医療業_特別に支払われた給与(円),医療業_総実労働時間(時間),医療，福祉一括分_現金給与総額(円),医療，福祉一括分_きまって支給する給与(円),医療，福祉一括分_特別に支払われた給与(円),医療，福祉一括分_総実労働時間(時間),複合サービス事業_現金給与総額(円),複合サービス事業_きまって支給する給与(円),複合サービス事業_特別に支払われた給与(円),複合サービス事業_総実労働時間(時間),その他のサービス業（他に分類されないもの）_現金給与総額(円),その他のサービス業（他に分類されないもの）_きまって支給する給与(円),その他のサービス業（他に分類されないもの）_特別に支払われた給与(円),その他のサービス業（他に分類されないもの）_総実労働時間(時間),職業紹介・派遣業_現金給与総額(円),職業紹介・派遣業_きまって支給する給与(円),職業紹介・派遣業_特別に支払われた給与(円),職業紹介・派遣業_総実労働時間(時間),他の事業サービス_現金給与総額(円),他の事業サービス_きまって支給する給与(円),他の事業サービス_特別に支払われた給与(円),他の事業サービス_総実労働時間(時間),その他のサービス業一括分_現金給与総額(円),その他のサービス業一括分_きまって支給する給与(円),その他のサービス業一括分_特別に支払われた給与(円),その他のサービス業一括分_総実労働時間(時間)
2015年,平成27年,1月,女,178193,167323,10870,114.6,196362,193807,2555,118.7,173848,171105,2743,122.3,135932,134948,984,120.1,186083,178313,7770,132.6,274639,241233,33406,135.3,207008,187996,19012,135.1,140879,140879,-,105.9,164504,164504,-,112.8,210402,210402,-,131.1,151014,141001,10013,113,X,X,X,X,154947,154947,-,165,216253,216253,-,158.2,206827,192612,14215,142.5,160842,160502,340,128.3,171806,171806,-,122.8,228574,221910,6664,128.2,183129,181405,1724,114,182711,182711,-,117.2,196870,196634,236,115.5,232902,232902,-,133,241677,239712,1965,133.8,199358,198902,456,114.8,256506,252815,3691,131.5,243026,238738,4288,151.8,158066,157963,103,134.6,136317,127982,8335,109,199037,186710,12327,127.2,123518,115998,7520,105.2,243929,243229,700,138.7,187310,168143,19167,122.4,198106,196946,1160,123.9,82401,81164,1237,82.2,103615,100887,2728,99,75129,74402,727,76.4,136338,127563,8775,117.9,266672,238695,27977,109.3,243296,220408,22888,124,286635,256427,30208,126.3,182503,169884,12619,120.8,211301,203823,7478,133.5,138681,136225,2456,114.3,136366,136177,189,111.3,123396,123010,386,111.9,197474,184800,12674,126.2
2015年,平成27年,2月,女,169997,168984,1013,120.8,201689,200527,1162,139.1,179469,178320,1149,140.7,134830,131752,3078,119.5,182566,182566,-,158.1,231853,231853,-,148.8,200571,198447,2124,159.1,143444,143444,-,127.2,160456,160456,-,132,223542,222778,764,135.6,150238,150238,-,139.9,X,X,X,X,171292,171292,-,167.4,215082,215082,-,148,199635,198064,1571,157.3,180405,180405,-,160.5,205493,199846,5647,150.2,242794,242534,260,159.6,209689,209289,400,133.2,198641,198641,-,144.5,198553,197861,692,141.5,249701,239024,10677,164.4,241290,239841,1449,143.8,204295,203829,466,152.4,256416,252805,3611,134.1,251817,251815,2,161.9,158076,156934,1142,139.3,126482,125577,905,112,195953,195251,702,152.6,112185,111238,947,103.6,235874,234277,1597,135.4,179381,172426,6955,133.5,207409,207409,-,133.3,80856,80366,490,80.6,103995,103147,848,95,72898,72531,367,75.6,129479,126438,3041,120.6,240956,240116,840,120.2,222464,221834,630,130.6,259290,258455,835,135.2,171336,170991,345,124.3,191222,181950,9272,122.5,147745,146974,771,121.1,160086,159974,112,132.7,128363,127284,1079,108.8,198292,197779,513,148.6
2015年,平成27年,3月,女,176121,168420,7701,120,211110,208199,2911,142.3,182462,175891,6571,136,133140,133037,103,122.5,179075,179075,-,147,242102,230332,11770,165.8,190254,188858,1396,147.1,139382,139382,-,121.2,175668,161164,14504,124.3,219259,217119,2140,134,156847,151131,5716,130.5,X,X,X,X,127999,127999,-,171.4,219599,219599,-,153.6,201209,201209,-,156.1,206662,174184,32478,150.4,231002,193981,37021,147,242268,242009,259,151.6,194767,192089,2678,130.5,223371,196898,26473,137.8,198160,196634,1526,134.1,245486,242596,2890,153.5,251290,243658,7632,144.8,213445,212981,464,142.5,319300,260606,58694,143.1,249979,249850,129,171.3,174747,163084,11663,141.8,126938,124532,2406,107.4,193384,190252,3132,146,113287,111030,2257,99.5,315454,241464,73990,146.9,180146,170801,9345,126.6,218123,214062,4061,135.4,84305,82894,1411,84.1,114322,109308,5014,111.5,74547,74307,240,75.2,123652,123389,263,108.4,253762,242752,11010,125.2,227491,217884,9607,129.3,268119,253607,14512,133.4,171117,168315,2802,123.6,218327,187028,31299,129.5,149224,144850,4374,123.9,147912,146609,1303,129.3,135771,129394,6377,114.1,202207,201139,1068,153.7
2015年,平成27年,4月,女,177614,173517,4097,126.5,230925,207584,23341,146.7,186877,181888,4989,147.3,142958,141576,1382,132.2,195024,184886,10138,158.5,213905,213905,-,168.3,203716,199524,4192,160.3,146811,146811,-,131.9,184350,163035,21315,137.5,232255,231210,1045,147.6,157153,157153,-,144.9,X,X,X,X,165311,165311,-,188.9,232047,232047,-,168.6,260490,197635,62855,141.4,178181,177284,897,165,202446,200283,2163,173.7,247927,246762,1165,162.1,221425,202097,19328,141.9,205838,205838,-,151.4,203498,201618,1880,152.7,256692,255094,1598,175.2,236421,235220,1201,142,196682,195767,915,142.3,264156,259700,4456,141,262682,259591,3091,168,166115,164285,1830,143.7,135005,131580,3425,118.3,209346,197829,11517,159.1,119198,117494,1704,109.5,282095,263527,18568,152.1,196502,179574,16928,138.6,207070,204609,2461,136.7,87044,86685,359,88.8,110843,109933,910,112.1,78872,78702,170,80.8,134521,134048,473,122.4,246379,244957,1422,126.7,230407,224921,5486,133.5,266799,262858,3941,139.5,178445,170754,7691,125,208978,201891,7087,146.6,144730,142193,2537,126.7,146444,146067,377,128.9,126062,124032,2030,117.2,213141,205765,7376,160
2015年,平成27年,5月,女,171583,170096,1487,117.8,201684,201333,351,131.8,179486,177876,1610,131.1,138664,137874,790,123.8,178356,176237,2119,139.5,228493,228493,-,170.8,190699,189705,994,135.6,144417,143256,1161,117.4,213214,213214,-,141.5,216619,216135,484,131,148506,141777,6729,125.2,X,X,X,X,169068,162266,6802,185.2,223727,223727,-,154,188938,187382,1556,124.9,170192,169475,717,141.1,186371,185345,1026,132.9,246102,243957,2145,146.4,197177,196503,674,123.4,194717,194717,-,121.5,200248,198419,1829,127.6,251936,249487,2449,141.4,253460,246523,6937,132.2,208709,206455,2254,134.1,269720,267747,1973,129.4,256993,250158,6835,152.6,158766,158557,209,131.1,131923,131208,715,113.4,201149,199551,1598,149.3,116910,116387,523,105.7,245535,238899,6636,137.8,209063,195796,13267,131.2,204301,203864,437,128.2,84173,83717,456,85.2,103712,103179,533,100.7,77161,76733,428,79.7,134835,134316,519,119,246139,245579,560,112.1,220285,218523,1762,126,251975,251437,538,128.2,174574,171047,3527,122.8,200647,197345,3302,134,136900,134652,2248,114,135048,127356,7692,109,119306,118888,418,107.5,204814,202946,1868,145.2
2015年,平成27年,6月,女,248830,172386,76444,126.4,238730,204421,34309,151.2,280322,184655,95667,146.2,176848,141675,35173,130.5,237765,186372,51393,155.4,504441,220255,284186,161.4,358862,204516,154346,162.8,143480,143480,-,135,294934,215893,79041,150.5,307416,222196,85220,147.5,186950,151052,35898,143.1,X,X,X,X,185671,155095,30576,204.5,440081,235110,204971,152.6,214369,210897,3472,161.7,200887,181316,19571,164.7,285393,195050,90343,151.5,448247,258039,190208,150.6,498771,205097,293674,136.8,396069,212571,183498,150.3,357140,198122,159018,135.5,665259,250966,414293,166,519233,251382,267851,150.6,244103,213316,30787,157.9,557934,268523,289411,144.5,441050,246116,194934,164.5,235887,162248,73639,143.5,160106,130432,29674,117.2,273439,197151,76288,157.2,136417,116486,19931,108.9,465081,239095,225986,146,265917,187567,78350,136.4,291942,209901,82041,143.7,89877,81239,8638,84.2,136181,105595,30586,106,73919,72845,1074,76.6,156199,133655,22544,121,472170,249041,223129,129.7,307988,221963,86025,137.1,335487,255418,80069,141.2,268244,173612,94632,131.3,293686,188571,105115,139.6,210345,146575,63770,124.8,169980,158573,11407,130.7,182444,128965,53479,114.2,369428,195813,173615,156.1
2015年,平成27年,7月,女,223733,172660,51073,125.3,255428,212711,42717,139.8,235598,179939,55659,142.9,161724,140304,21420,127.8,218867,192276,26591,147.1,238793,194982,43811,154.6,217154,204897,12257,159.7,277488,154770,122718,140.5,167891,154577,13314,140.2,359705,218764,140941,144.5,166318,137930,28388,142.5,X,X,X,X,193218,149951,43267,173.9,178540,158363,20177,127,257442,215119,42323,157.9,256562,177301,79261,161.2,234285,176007,58278,135.9,429894,239367,190527,161.6,253670,211537,42133,143.2,243834,205955,37879,148.1,315917,200116,115801,144,286663,248573,38090,167.9,405642,248890,156752,152.1,338551,206033,132518,141.1,275800,268001,7799,149.5,283016,238388,44628,161.7,205578,158365,47213,135.1,168427,130162,38265,116.8,338751,200038,138713,155.6,136124,116910,19214,109.4,313245,263836,49409,145.7,220867,183764,37103,134.7,256652,220427,36225,143.6,91159,86599,4560,88.4,112289,109177,3112,107.5,83644,78569,5075,81.7,144953,135211,9742,123.4,357434,240171,117263,130.3,299983,220511,79472,133.1,357816,253105,104711,134.3,215384,172833,42551,131.4,327091,209048,118043,147.1,185733,151202,34531,123.5,164184,157530,6654,132.8,176439,132844,43595,115.5,242462,206058,36404,140.2
2015年,平成27年,8月,女,177461,169894,7567,120,245181,215158,30023,139.2,183029,174567,8462,133.3,143880,138685,5195,121.9,185892,185144,748,145.3,232581,232581,-,168.9,220543,192655,27888,144.6,154370,154370,-,123.5,174251,134149,40102,133.1,209503,208797,706,129.4,144250,133619,10631,131,X,X,X,X,112065,112065,-,131.7,168880,163793,5087,130.2,205262,203673,1589,152.7,174928,174093,835,148.7,180409,173359,7050,127,259405,240476,18929,148.8,233473,206431,27042,131.7,200622,200622,-,130.1,201661,195396,6265,132.7,247135,236946,10189,133.9,251583,232876,18707,133.7,202722,200802,1920,144.5,259156,256586,2570,137.4,254085,237205,16880,157.2,159720,153681,6039,128.7,133723,130966,2757,116.4,213523,204595,8928,156.2,117117,115644,1473,108.1,397583,282185,115398,137,203499,170705,32794,122.1,220607,220607,-,132,90816,89384,1432,89.4,118159,117549,610,109.4,80778,79044,1734,81.9,140800,136515,4285,120.6,233648,233593,55,105.1,219946,216217,3729,131,248748,244333,4415,131.7,177686,174964,2722,130,217243,209512,7731,149.6,140704,138807,1897,113.7,128873,127079,1794,107.2,127866,127004,862,111.1,205687,199730,5957,132.6
2015年,平成27年,9月,女,173807,170582,3225,119.8,221615,218728,2887,143,183793,181235,2558,141.1,138472,138381,91,124.1,190212,189735,477,154,235000,228447,6553,161.4,202022,200138,1884,148.4,160848,160848,-,152.8,162321,158155,4166,150,223562,223368,194,134.7,146160,146160,-,134.5,X,X,X,X,144586,144586,-,158.6,164119,164119,-,123.8,197429,197429,-,155.4,197994,185571,12423,165,183104,182301,803,142.3,246014,245755,259,159.4,213778,210382,3396,138.4,220679,211422,9257,140.4,202565,200933,1632,131.3,248063,245308,2755,170.8,236570,231453,5117,133.7,207606,204981,2625,146.3,242618,239055,3563,134.8,261359,238935,22424,152.1,166301,163381,2920,136.9,132891,130617,2274,116.2,197917,195996,1921,151.5,118961,116612,2349,108.7,256614,249680,6934,120.1,166808,164564,2244,126.1,260027,224064,35963,136.6,85544,82571,2973,82.3,118602,108066,10536,105.4,73662,73408,254,74,135797,135182,615,114.2,245038,245027,11,118.8,220195,219128,1067,128.5,252622,251535,1087,129.6,171896,170858,1038,126.7,221624,220566,1058,150.5,139754,137705,2049,113.9,135831,135432,399,114.8,126017,123339,2678,108.6,197550,195641,1909,132.7
2015年,平成27年,10月,女,173150,170994,2156,119.2,212213,212213,-,137.9,179834,177524,2310,134.4,140775,138931,1844,124.6,198174,187275,10899,145.5,228515,228515,-,158.7,195817,195817,-,140.8,157821,157821,-,129.2,151118,148853,2265,151.2,226778,225031,1747,137.1,128944,128944,-,118.8,X,X,X,X,150432,150432,-,157.8,155343,155343,-,119.2,192642,192642,-,152.7,169881,169881,-,147.8,184568,183690,878,138.3,246483,246218,265,144.4,205493,203514,1979,120.8,206149,206149,-,133.1,199903,198144,1759,128.1,247456,246436,1020,145.3,247328,246049,1279,144.8,203363,202471,892,130.9,248816,243309,5507,137.1,248849,247978,871,165.2,157404,156536,868,135.6,133684,130931,2753,112.4,200153,187931,12222,136.4,118838,118200,638,107.1,276387,262997,13390,132.9,164970,164548,422,123.3,232158,227536,4622,138.3,82133,81932,201,83,108619,108117,502,107.2,72540,72449,91,74.2,127945,127409,536,111.2,248033,243972,4061,120.7,220688,219620,1068,129.8,248839,247125,1714,128.6,177865,177779,86,131.7,233084,223973,9111,159.6,145730,144865,865,114.9,143051,142669,382,121.4,130119,129346,773,107.7,204792,202996,1796,132.4
2015年,平成27年,11月,女,176455,170654,5801,121.3,219970,219970,-,146.9,186513,183666,2847,146.1,153130,147081,6049,134.9,192795,192795,-,160.7,228454,228454,-,184.5,263356,201891,61465,160.5,159321,157738,1583,139.7,157779,157779,-,162.2,222743,222595,148,143.7,135816,135816,-,130.4,X,X,X,X,133342,133342,-,139.5,171052,171052,-,137.3,189015,187599,1416,159,194369,182130,12239,163.6,193622,192618,1004,150.1,254346,254063,283,160.5,210132,209650,482,134.2,216006,216006,-,145.2,203917,202727,1190,139.2,245760,244272,1488,167.3,230597,229576,1021,139.1,207753,207753,-,148.8,249300,247536,1764,134.4,275686,246836,28850,155.4,184407,167468,16939,142.2,136051,131527,4524,115.3,201281,198321,2960,152,121307,116430,4877,107,254207,253363,844,133.2,201132,169214,31918,126.2,252099,224519,27580,137.1,85137,84918,219,84.3,110713,110160,553,109,75765,75668,97,75.3,126645,126527,118,109.4,242802,242750,52,120.8,226018,216632,9386,129.5,254470,247659,6811,130.5,183979,170790,13189,127.9,196729,196243,486,136.5,152286,148458,3828,118.7,146699,146425,274,125,138374,133600,4774,110.5,212017,207493,4524,142.3
2015年,平成27年,12月,女,336040,172863,163177,120.8,365179,213188,151991,144.8,349445,183230,166215,144.6,203715,143439,60276,132,299448,202127,97321,155.7,590648,219883,370765,158.5,380436,198380,182056,150,303077,155509,147568,141.3,225597,156614,68983,164.9,511716,225911,285805,134.3,219207,146342,72865,137.7,X,X,X,X,255019,162163,92856,166.9,313116,166738,146378,126.6,224541,179886,44655,148.1,276741,185367,91374,169.2,287105,179016,108089,133.6,686811,250550,436261,153.5,562576,204618,357958,137.2,480228,207321,272907,145.4,470094,198979,271115,133.4,660098,244996,415102,166.5,632477,232158,400319,137.6,389726,209240,180486,146.7,498753,243850,254903,134.4,479296,241471,237825,151.7,274355,169268,105087,142.3,206325,132112,74213,114.9,405101,197721,207380,147.7,162576,117672,44904,107.7,636360,267685,368675,133.1,258561,162417,96144,116.7,498580,226930,271650,134.3,104325,86147,18178,85.5,155446,112195,43251,104.9,84041,75811,8230,77.8,193881,135688,58193,115.1,644953,243932,401021,117.2,480977,224307,256670,129.8,577474,261978,315496,132.3,341361,169803,171558,126,346374,179272,167102,138.7,244178,144400,99778,117,187080,157314,29766,126.1,204300,126824,77476,112,458772,198112,260660,126
