死因,性別,総数(人),京都市(人),その他の市町村(人),乙訓保健所(人),山城北保健所(人),山城南保健所(人),南丹保健所(人),中丹西保健所(人),中丹東保健所(人),丹後保健所(人),福知山市(人),舞鶴市(人),綾部市(人),宇治市(人),宮津市(人),亀岡市(人),城陽市(人),向日市(人),長岡京市(人),八幡市(人),京田辺市(人),京丹後市(人),南丹市(人),木津川市(人),大山崎町(人),久御山町(人),井手町(人),宇治田原町(人),笠置町(人),和束町(人),精華町(人),南山城村(人),京丹波町(人),伊根町(人),与謝野町(人)
循環器系の疾患_脳血管疾患_脳梗塞,男,529,278,251,21,79,14,27,34,34,42,34,21,13,32,8,16,14,7,14,16,12,25,6,7,-,2,1,2,-,1,3,3,5,-,9
循環器系の疾患_脳血管疾患_脳梗塞,女,641,324,317,30,89,30,29,42,41,56,42,18,23,37,12,14,19,8,16,13,14,25,10,15,6,3,-,3,2,7,6,-,5,3,16
循環器系の疾患_脳血管疾患_その他の脳血管疾患,男,41,33,8,1,2,-,2,2,-,1,2,-,-,2,1,1,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
循環器系の疾患_脳血管疾患_その他の脳血管疾患,女,43,33,10,-,5,1,-,1,2,1,1,2,-,2,-,-,1,-,-,1,-,1,-,-,-,-,1,-,-,-,1,-,-,-,-
循環器系の疾患_大動脈瘤及び解離,男,147,85,62,13,16,3,8,5,8,9,5,4,4,4,3,4,6,8,4,3,-,5,3,3,1,2,1,-,-,-,-,-,1,-,1
循環器系の疾患_大動脈瘤及び解離,女,126,88,38,5,13,2,4,3,5,6,3,4,1,7,1,2,3,2,2,1,1,3,1,2,1,1,-,-,-,-,-,-,1,-,2
循環器系の疾患_その他の循環器系の疾患,男,54,36,18,-,6,3,3,2,4,-,2,2,2,1,-,1,4,-,-,-,1,-,2,1,-,-,-,-,-,1,1,-,-,-,-
循環器系の疾患_その他の循環器系の疾患,女,74,43,31,5,6,3,6,3,4,4,3,3,1,6,2,3,-,2,3,-,-,1,2,2,-,-,-,-,-,1,-,-,1,-,1
呼吸器系の疾患,男,2267,1142,1125,107,378,94,160,93,159,134,93,113,46,153,26,90,96,32,58,56,42,75,47,53,17,16,8,7,4,8,25,4,23,3,30
呼吸器系の疾患,女,1723,891,832,83,285,88,103,74,98,101,74,66,32,123,20,55,51,32,43,53,32,60,33,55,8,15,7,4,2,8,18,5,15,2,19
呼吸器系の疾患_インフルエンザ,男,21,8,13,1,4,-,-,4,1,3,4,1,-,3,2,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
呼吸器系の疾患_インフルエンザ,女,26,15,11,2,3,2,2,2,-,-,2,-,-,2,-,-,1,1,1,-,-,-,2,1,-,-,-,-,-,-,-,1,-,-,-
呼吸器系の疾患_肺炎,男,1248,645,603,57,206,49,85,45,96,65,45,76,20,82,9,43,57,19,27,28,28,42,26,27,11,5,3,3,3,6,12,1,16,2,12
呼吸器系の疾患_肺炎,女,1029,529,500,54,168,56,64,42,63,53,42,41,22,75,11,34,27,21,29,33,19,30,21,32,4,7,4,3,1,6,14,3,9,2,10
呼吸器系の疾患_急性気管支炎,男,4,3,1,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
呼吸器系の疾患_急性気管支炎,女,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
呼吸器系の疾患_慢性閉塞性肺疾患,男,268,113,155,9,50,13,26,11,21,25,11,11,10,21,6,15,7,3,6,10,5,16,7,8,-,2,2,3,-,1,1,3,4,-,3
呼吸器系の疾患_慢性閉塞性肺疾患,女,75,41,34,3,11,1,1,8,3,7,8,1,2,5,2,-,1,3,-,3,-,4,-,-,-,2,-,-,-,-,1,-,1,-,1
呼吸器系の疾患_喘息,男,6,4,2,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-
呼吸器系の疾患_喘息,女,15,13,2,1,1,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
呼吸器系の疾患_その他の呼吸器系の疾患,男,720,369,351,40,118,31,48,32,41,41,32,25,16,47,9,32,32,10,24,18,8,16,13,17,6,9,3,1,1,1,12,-,3,1,15
呼吸器系の疾患_その他の呼吸器系の疾患,女,575,290,285,23,102,29,36,22,32,41,22,24,8,40,7,21,22,6,13,17,13,26,10,22,4,6,3,1,1,2,3,1,5,-,8
消化器系の疾患,男,459,244,215,26,86,21,19,15,20,28,15,17,3,31,4,13,26,8,15,14,9,15,5,9,3,2,2,2,1,1,8,2,1,-,9
消化器系の疾患,女,460,260,200,16,62,14,32,19,29,28,19,22,7,25,9,16,12,7,9,7,13,7,11,10,-,1,2,2,-,-,3,1,5,4,8
消化器系の疾患_胃潰瘍及び十二指腸潰瘍,男,28,15,13,3,5,3,-,1,1,-,1,1,-,2,-,-,3,1,2,-,-,-,-,2,-,-,-,-,-,-,1,-,-,-,-
消化器系の疾患_胃潰瘍及び十二指腸潰瘍,女,23,12,11,-,3,1,1,2,3,1,2,3,-,1,1,1,-,-,-,1,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-
消化器系の疾患_ヘルニア及び腸閉塞,男,64,33,31,3,11,5,2,1,6,3,1,5,1,6,1,1,3,-,2,2,-,2,-,3,1,-,-,-,-,-,2,-,1,-,-
消化器系の疾患_ヘルニア及び腸閉塞,女,78,49,29,3,9,1,7,3,4,2,3,1,3,3,-,4,1,2,1,2,3,1,2,1,-,-,-,-,-,-,-,-,1,1,-
消化器系の疾患_肝疾患,男,169,94,75,8,37,3,7,6,4,10,6,3,1,13,2,4,6,2,5,7,7,4,3,1,1,1,2,1,-,1,1,-,-,-,4
消化器系の疾患_肝疾患,女,112,65,47,6,16,4,6,3,8,4,3,8,-,5,3,4,2,1,5,2,5,-,1,1,-,-,1,1,-,-,2,1,1,1,-
消化器系の疾患_肝疾患_肝硬変(アルコール性を除く),男,66,36,30,3,15,1,2,4,2,3,4,2,-,4,-,1,3,-,2,4,3,2,1,-,1,-,1,-,-,1,-,-,-,-,1
消化器系の疾患_肝疾患_肝硬変(アルコール性を除く),女,70,43,27,3,10,2,3,2,4,3,2,4,-,4,3,2,1,1,2,2,2,-,-,-,-,-,-,1,-,-,2,-,1,-,-
消化器系の疾患_肝疾患_その他の肝疾患,男,103,58,45,5,22,2,5,2,2,7,2,1,1,9,2,3,3,2,3,3,4,2,2,1,-,1,1,1,-,-,1,-,-,-,3
消化器系の疾患_肝疾患_その他の肝疾患,女,42,22,20,3,6,2,3,1,4,1,1,4,-,1,-,2,1,-,3,-,3,-,1,1,-,-,1,-,-,-,-,1,-,1,-
消化器系の疾患_その他の消化器系の疾患,男,198,102,96,12,33,10,10,7,9,15,7,8,1,10,1,8,14,5,6,5,2,9,2,3,1,1,-,1,1,-,4,2,-,-,5
消化器系の疾患_その他の消化器系の疾患,女,247,134,113,7,34,8,18,11,14,21,11,10,4,16,5,7,9,4,3,2,5,6,8,7,-,1,-,1,-,-,1,-,3,2,8
皮膚及び皮下組織の疾患,男,13,5,8,-,4,-,1,1,1,1,1,-,1,-,-,-,2,-,-,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
皮膚及び皮下組織の疾患,女,12,7,5,1,2,1,1,-,-,-,-,-,-,1,-,1,-,-,-,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-
筋骨格系及び結合組織の疾患,男,63,36,27,7,10,2,2,3,2,1,3,1,1,5,-,1,3,3,4,1,1,1,1,1,-,-,-,-,-,-,1,-,-,-,-
筋骨格系及び結合組織の疾患,女,91,43,48,6,13,4,5,4,9,7,4,6,3,4,2,3,3,1,4,2,-,4,1,1,1,3,-,1,1,-,1,1,1,1,-
腎尿路生殖器系の疾患,男,351,187,164,9,47,16,21,19,25,27,19,11,14,20,3,10,10,4,4,7,8,17,7,12,1,-,1,1,-,1,2,1,4,1,6
腎尿路生殖器系の疾患,女,476,262,214,24,72,16,30,20,27,25,20,18,9,30,4,12,16,12,7,9,9,12,10,10,5,3,-,5,-,-,6,-,8,1,8
腎尿路生殖器系の疾患_糸球体疾患及び腎尿細管間質性疾患,男,40,26,14,1,2,3,3,1,1,3,1,1,-,1,1,1,-,-,-,-,1,1,2,3,1,-,-,-,-,-,-,-,-,-,1
腎尿路生殖器系の疾患_糸球体疾患及び腎尿細管間質性疾患,女,67,33,34,5,12,2,5,2,3,5,2,2,1,5,1,3,2,3,2,2,1,3,1,2,-,1,-,1,-,-,-,-,1,-,1
腎尿路生殖器系の疾患_腎不全,男,245,124,121,6,40,11,11,15,20,18,15,9,11,17,2,6,9,3,3,7,6,11,3,7,-,-,1,-,-,1,2,1,2,1,4
腎尿路生殖器系の疾患_腎不全,女,276,159,117,13,37,10,17,13,13,14,13,9,4,13,2,7,7,7,4,5,6,6,6,4,2,2,-,4,-,-,6,-,4,1,5
腎尿路生殖器系の疾患_腎不全_急性腎不全,男,30,12,18,1,6,-,1,4,2,4,4,1,1,4,-,1,1,1,-,1,-,3,-,-,-,-,-,-,-,-,-,-,-,-,1
腎尿路生殖器系の疾患_腎不全_急性腎不全,女,53,32,21,2,7,2,5,-,4,1,-,3,1,3,-,4,-,2,-,1,2,1,1,2,-,1,-,-,-,-,-,-,-,-,-
腎尿路生殖器系の疾患_腎不全_慢性腎不全,男,168,87,81,5,27,8,8,9,11,13,9,5,6,11,2,3,6,2,3,5,4,7,3,4,-,-,1,-,-,1,2,1,2,1,3
腎尿路生殖器系の疾患_腎不全_慢性腎不全,女,163,97,66,8,19,6,10,8,7,8,8,4,3,6,2,2,5,4,3,1,2,2,5,2,1,1,-,4,-,-,4,-,3,-,4
腎尿路生殖器系の疾患_腎不全_詳細不明の腎不全,男,47,25,22,-,7,3,2,2,7,1,2,3,4,2,-,2,2,-,-,1,2,1,-,3,-,-,-,-,-,-,-,-,-,-,-
腎尿路生殖器系の疾患_腎不全_詳細不明の腎不全,女,60,30,30,3,11,2,2,5,2,5,5,2,-,4,-,1,2,1,1,3,2,3,-,-,1,-,-,-,-,-,2,-,1,1,1
腎尿路生殖器系の疾患_その他の腎尿路生殖器系の疾患,男,66,37,29,2,5,2,7,3,4,6,3,1,3,2,-,3,1,1,1,-,1,5,2,2,-,-,-,1,-,-,-,-,2,-,1
腎尿路生殖器系の疾患_その他の腎尿路生殖器系の疾患,女,133,70,63,6,23,4,8,5,11,6,5,7,4,12,1,2,7,2,1,2,2,3,3,4,3,-,-,-,-,-,-,-,3,-,2
"妊娠,分娩及び産じょく",女,2,1,1,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
周産期に発生した病態,男,8,5,3,-,1,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
周産期に発生した病態,女,8,5,3,1,1,-,1,-,-,-,-,-,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
周産期に発生した病態_妊娠期間及び胎児発育に関連する障害,男,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
周産期に発生した病態_妊娠期間及び胎児発育に関連する障害,女,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
周産期に発生した病態_出産外傷,男,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
周産期に発生した病態_出産外傷,女,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
周産期に発生した病態_周産期に特異的な呼吸障害及び心血管障害,男,5,2,3,-,1,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
周産期に発生した病態_周産期に特異的な呼吸障害及び心血管障害,女,4,2,2,1,1,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
周産期に発生した病態_周産期に特異的な感染症,男,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
周産期に発生した病態_周産期に特異的な感染症,女,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
周産期に発生した病態_胎児及び新生児の出血性障害及び血液障害,男,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
周産期に発生した病態_胎児及び新生児の出血性障害及び血液障害,女,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
周産期に発生した病態_その他の周産期に発生した病態,男,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
周産期に発生した病態_その他の周産期に発生した病態,女,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
先天奇形，変形及び染色体異常,男,15,5,10,2,3,1,1,-,3,-,-,1,2,2,-,-,-,-,-,-,1,-,1,-,2,-,-,-,-,-,1,-,-,-,-
先天奇形，変形及び染色体異常,女,33,20,13,-,6,3,1,1,1,1,1,1,-,4,-,-,1,-,-,-,-,1,1,2,-,-,-,1,-,-,1,-,-,-,-
先天奇形，変形及び染色体異常_神経系の先天奇形,男,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
先天奇形，変形及び染色体異常_神経系の先天奇形,女,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
先天奇形，変形及び染色体異常_循環器系の先天奇形,男,4,2,2,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-
先天奇形，変形及び染色体異常_循環器系の先天奇形,女,21,10,11,-,5,3,1,1,-,1,1,-,-,4,-,-,1,-,-,-,-,1,1,2,-,-,-,-,-,-,1,-,-,-,-
先天奇形，変形及び染色体異常_循環器系の先天奇形_心臓の先天奇形,男,3,2,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
先天奇形，変形及び染色体異常_循環器系の先天奇形_心臓の先天奇形,女,11,8,3,-,2,1,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
先天奇形，変形及び染色体異常_循環器系の先天奇形_その他の循環器系の先天奇形,男,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
先天奇形，変形及び染色体異常_循環器系の先天奇形_その他の循環器系の先天奇形,女,10,2,8,-,3,2,1,1,-,1,1,-,-,3,-,-,-,-,-,-,-,1,1,2,-,-,-,-,-,-,-,-,-,-,-
先天奇形，変形及び染色体異常_消化器系の先天奇形,男,2,1,1,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
先天奇形，変形及び染色体異常_消化器系の先天奇形,女,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
先天奇形，変形及び染色体異常_その他の先天奇形及び変形,男,7,2,5,2,2,-,-,-,1,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-
先天奇形，変形及び染色体異常_その他の先天奇形及び変形,女,7,6,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
先天奇形，変形及び染色体異常_染色体異常、他に分類されないもの,男,2,-,2,-,1,-,-,-,1,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
先天奇形，変形及び染色体異常_染色体異常、他に分類されないもの,女,4,3,1,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
症状、徴候及び異常臨床所見・異常検査所見で他に分類されないもの,男,461,242,219,12,49,15,40,21,45,37,21,33,12,17,9,13,12,3,7,9,6,21,19,6,2,4,-,1,-,2,2,5,8,-,7
症状、徴候及び異常臨床所見・異常検査所見で他に分類されないもの,女,1332,714,618,37,139,44,100,64,121,113,64,82,39,64,29,38,27,10,21,18,22,60,38,28,6,1,3,4,1,1,8,6,24,1,23
症状、徴候及び異常臨床所見・異常検査所見で他に分類されないもの_老衰,男,334,166,168,6,31,12,32,17,38,32,17,29,9,12,8,10,7,2,3,5,5,19,16,4,1,1,-,1,-,1,2,5,6,-,5
症状、徴候及び異常臨床所見・異常検査所見で他に分類されないもの_老衰,女,1219,653,566,30,116,39,94,62,113,112,62,77,36,52,29,35,23,8,16,15,18,59,35,25,6,1,3,4,-,-,8,6,24,1,23
症状、徴候及び異常臨床所見・異常検査所見で他に分類されないもの_乳幼児突然死症候群,男,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
症状、徴候及び異常臨床所見・異常検査所見で他に分類されないもの_乳幼児突然死症候群,女,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
症状、徴候及び異常臨床所見・異常検査所見で他に分類されないもの_その他の症状、徴候及び異常臨床所見・異常検査所見で他に分類されないもの,男,127,76,51,6,18,3,8,4,7,5,4,4,3,5,1,3,5,1,4,4,1,2,3,2,1,3,-,-,-,1,-,-,2,-,2
症状、徴候及び異常臨床所見・異常検査所見で他に分類されないもの_その他の症状、徴候及び異常臨床所見・異常検査所見で他に分類されないもの,女,112,60,52,7,23,5,6,2,8,1,2,5,3,12,-,3,4,2,5,3,4,1,3,3,-,-,-,-,1,1,-,-,-,-,-
傷病及び死亡の外因,男,693,348,345,28,108,28,55,37,43,46,37,33,10,44,11,32,19,11,12,17,13,27,14,22,5,8,5,2,-,-,4,2,9,2,6
傷病及び死亡の外因,女,385,204,181,23,66,14,14,17,25,22,17,15,10,30,7,7,11,7,10,14,8,11,4,9,6,1,1,1,1,1,3,-,3,1,3
傷病及び死亡の外因_不慮の事故,男,335,169,166,11,50,16,23,22,18,26,22,15,3,17,9,12,11,3,5,7,9,12,6,13,3,3,3,-,-,-,2,1,5,1,4
傷病及び死亡の外因_不慮の事故,女,198,98,100,6,32,12,9,8,18,15,8,11,7,14,6,4,4,2,1,9,4,7,4,7,3,-,1,-,1,1,3,-,1,-,2
傷病及び死亡の外因_不慮の事故_交通事故,男,83,38,45,-,15,3,4,6,7,10,6,6,1,4,3,1,2,-,-,5,2,4,2,1,-,1,1,-,-,-,2,-,1,-,3
傷病及び死亡の外因_不慮の事故_交通事故,女,30,9,21,1,6,3,2,-,5,4,-,3,2,-,1,1,1,-,-,4,1,3,1,2,1,-,-,-,-,-,1,-,-,-,-
傷病及び死亡の外因_不慮の事故_転倒・転落,男,79,41,38,3,12,7,4,2,5,5,2,4,1,3,1,1,3,1,-,2,3,3,2,7,2,-,1,-,-,-,-,-,1,-,1
傷病及び死亡の外因_不慮の事故_転倒・転落,女,56,29,27,1,9,1,2,3,5,6,3,2,3,5,4,1,1,-,-,2,1,2,1,1,1,-,-,-,-,-,-,-,-,-,-
傷病及び死亡の外因_不慮の事故_不慮の溺死及び溺水,男,12,9,3,1,-,-,1,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
傷病及び死亡の外因_不慮の事故_不慮の溺死及び溺水,女,13,5,8,1,2,1,-,1,2,1,1,2,-,1,-,-,1,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-
傷病及び死亡の外因_不慮の事故_不慮の窒息,男,68,39,29,5,9,4,5,1,3,2,1,2,1,3,1,4,3,-,4,-,1,1,-,4,1,1,1,-,-,-,-,-,1,-,-
傷病及び死亡の外因_不慮の事故_不慮の窒息,女,57,34,23,2,8,5,3,1,2,2,1,2,-,6,1,1,1,1,1,1,-,1,1,2,-,-,-,-,1,-,2,-,1,-,-
傷病及び死亡の外因_不慮の事故_煙，火及び火炎への曝露,男,4,2,2,-,1,-,-,-,-,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
傷病及び死亡の外因_不慮の事故_煙，火及び火炎への曝露,女,5,1,4,-,1,-,1,-,1,1,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
傷病及び死亡の外因_不慮の事故_有害物質による不慮の中毒及び有害物質への曝露,男,5,4,1,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
傷病及び死亡の外因_不慮の事故_有害物質による不慮の中毒及び有害物質への曝露,女,3,2,1,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
傷病及び死亡の外因_不慮の事故_その他の不慮の事故,男,84,36,48,2,12,2,9,12,3,8,12,3,-,6,3,6,2,1,1,-,3,4,1,1,-,1,-,-,-,-,-,1,2,1,-
傷病及び死亡の外因_不慮の事故_その他の不慮の事故,女,34,18,16,1,6,2,1,2,3,1,2,1,2,1,-,-,-,1,-,2,2,-,1,1,-,-,1,-,-,1,-,-,-,-,1
傷病及び死亡の外因_自殺,男,289,151,138,17,44,10,25,10,18,14,10,13,5,21,2,16,6,8,7,7,3,10,7,9,2,3,2,2,-,-,1,-,2,-,2
傷病及び死亡の外因_自殺,女,134,79,55,12,27,1,2,7,3,3,7,3,-,13,1,2,5,4,6,4,3,1,-,1,2,1,-,1,-,-,-,-,-,1,-
傷病及び死亡の外因_他殺,男,3,1,2,-,1,-,-,1,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
傷病及び死亡の外因_他殺,女,1,-,1,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
傷病及び死亡の外因_その他の外因,男,66,27,39,-,13,2,7,4,7,6,4,5,2,5,-,4,2,-,-,3,1,5,1,-,-,2,-,-,-,-,1,1,2,1,-
傷病及び死亡の外因_その他の外因,女,52,27,25,5,6,1,3,2,4,4,2,1,3,2,-,1,2,1,3,1,1,3,-,1,1,-,-,-,-,-,-,-,2,-,1
